tile_x,tile_y,panoid,lat,lon,is_third_party,is_official_panoid
75036,47440,l03kQSBKxFEX8-mj_DuQbw,44.4323891,26.0928538,0,1
75036,47440,Yhy_Jczp83TOl60yLh-KWQ,44.432396,26.092715,0,1
75036,47440,5CJDqx8r2G3m-hCjUgT6xA,44.4323798,26.0929675,0,1
75036,47440,hO4q3NXX2COKLXzeVB0hzA,44.4324599,26.0929794,0,1
75036,47440,qP5HORCxWh66Y8E8qmdmDA,44.4323342,26.0930615,0,1
75036,47440,XNjp0k_mBIA77pit6Gqa-Q,44.4324161,26.0930868,0,1
75036,47440,QhVOGeQ-3gICC7PasrJsMw,44.4322751,26.0931606,0,1
75036,47440,0dgSUyf1oMihB3lv4iJcGw,44.4325791,26.0927578,0,1
75036,47440,ecNRk_3mE_z2R1tKPcR90Q,44.4322837,26.0932882,0,1
75036,47440,pvrIKVeLwTp_TYca9Zy-1g,44.4323545,26.0931895,0,1
75036,47440,efJdxa-szIjeJ_mzShpxJw,44.4321614,26.0933039,0,1
75036,47440,iAdL3nmsDQWaZomtJjhwlg,44.4324038,26.0925827,0,1
75036,47440,nqIu81uIF6U-iH-ZhBZKng,44.4326302,26.092654,0,1
75036,47440,Fv6omn_H4SSOiO_kygUcKA,44.4333943,26.0925537,0,1
75036,47440,QZJsQTqkU7E-mFlMlbwZog,44.4333746,26.0926782,0,1
75036,47440,5wlLzm6tLL9VFjem-_fghA,44.4333699,26.0927946,0,1
75036,47440,pNU1g_Fy_8lGjXLUF0yjwQ,44.4333612,26.092921,0,1
75036,47440,leVivIYSBk60lC-dQDOrTQ,44.4333494,26.0930449,0,1
75036,47440,k8_C-AW2ydOWu8BeL2wavQ,44.4333361,26.0932394,0,1
75036,47440,UbUgJgOkJTHiisCIV-b2NA,44.4333297,26.0933762,0,1
75036,47440,Zq5EP63G18E6vhE8ZAo19g,44.4333173,26.0935007,0,1
75036,47440,iAMAQeQjiBArn3SDhXIPZw,44.4333005,26.0936163,0,1
75036,47440,YpL1ob0pCkKjY_DerlASng,44.4332939,26.0937421,0,1
75036,47440,1ULuZpDFx3Ekb8Or7xX-7Q,44.4318694,26.0946946,0,1
75036,47440,ZyXH-WY-KTbyVmLG3tCCGg,44.4319348,26.0946128,0,1
75036,47440,7msCxLeS2yloxeLRMah_0A,44.4320056,26.0945366,0,1
75036,47440,AuABDerYPhLbDoB1qbKATw,44.432073,26.0944678,0,1
75036,47440,whVgdTME-7TkcETWoKCT6Q,44.4321338,26.0944027,0,1
75036,47440,z_8UiYhW786Ysx1Vwvvf-g,44.4321993,26.0943318,0,1
75036,47440,aOGQDrOOLgC47FDHIQwlOg,44.4322714,26.0942566,0,1
75036,47440,jDA_2k18AX73pvV-2QjgvA,44.433108,26.0943086,0,1
75036,47440,rQ9SNKwappzVNAtywpzU3Q,44.4332772,26.093977,0,1
75036,47440,ZeRp1WSUYu7exYiGbspRJQ,44.4332362,26.0948608,0,1
75036,47440,42pcujOWWgI1NnvGHeEzGg,44.4332241,26.0949838,0,1
75036,47440,-0tgsoFTvFCpS-8IL64nMg,44.4332125,26.0951061,0,1
75036,47440,E2J6kFyP2wJCY6R8ad5b-w,44.4331989,26.095233,0,1
75036,47440,JWtzu6avdYWuiwV53cW16Q,44.432509,26.0937855,0,1
75036,47440,osKYjxo4zahwjy2myAxRCg,44.4332406,26.0945806,0,1
75036,47440,q0aRgnSNMfDu7YQST4NFrA,44.4330741,26.0927621,0,1
75036,47440,Uo2FKFX3WxiIfVVPB6PB7Q,44.4318277,26.0940097,0,1
75036,47440,u-dUXXIYEq75aWJxCKSu2A,44.4331277,26.0926098,0,1
75036,47440,94oMnGvpfMlQkWOgQcWpWg,44.4333451,26.093141,0,1
75036,47440,gFDWyqQ-IKVS_LBtd9pr-g,44.4318995,26.0939312,0,1
75036,47440,rnHTNhSyvidJBlr3ENFdJA,44.4319692,26.0938582,0,1
75036,47440,ha5u2xInAhRVRVUhN6fbJQ,44.4320023,26.0943349,0,1
75036,47440,3ygOLylCPs-SbishFSdsWQ,44.4320714,26.094259,0,1
75036,47440,h49JYtDfWRqM0lBXHTq7tg,44.4319331,26.0944101,0,1
75036,47440,fdSbfNhaJ4YM0xZ2c6TivA,44.4318608,26.0944857,0,1
75036,47440,Z28XHfIKNgegDHgWp8Gbjg,44.4323313,26.0941903,0,1
75036,47440,zj8eEyOGB95gFnBIK0MrWA,44.4321416,26.0941857,0,1
75036,47440,sIiZYpxj8ri_yfUrE5UA5A,44.432236,26.0933545,0,1
75036,47440,idARCPlklYU2jNV9n2zPbg,44.43204,26.093782,0,1
75036,47440,Lpgol03QJuCJ6w8arzV99A,44.4324574,26.0932881,0,1
75036,47440,07-YsKiS2fdDS5V1v0TagA,44.4325787,26.0930889,0,1
75036,47440,oAVPpIYYRCr3BdZGgchgGg,44.43252,26.0931867,0,1
75036,47440,NKZj3sdObICFC880WX_S0g,44.4321127,26.0937031,0,1
75036,47440,Nhf3hbUkD8UWKzgLGzeMMg,44.4326882,26.0928738,0,1
75036,47440,h4tp0Pimbkpj0pGp6qOEYA,44.4321012,26.0934924,0,1
75036,47440,PZAtD2CSwv3NKJEka33CmQ,44.4327387,26.0927651,0,1
75036,47440,Dqmx3qJpbG7UXmH8nEmbFQ,44.4327848,26.0926518,0,1
75036,47440,kfbI-Ih-4RrrNtuIl1g6qA,44.4322116,26.0932459,0,1
75036,47440,59rOrWyY8RwKXIZHzeEqMQ,44.4323247,26.0934653,0,1
75036,47440,z0ekvPidvXuSxUierPHlcA,44.4323903,26.0933784,0,1
75036,47440,kmv4eLP13vAQdDGfqA2pfQ,44.4328282,26.0925346,0,1
75036,47440,Kh9sZFt3ESbqtboet3IbXQ,44.4326358,26.0929781,0,1
75036,47440,O4ea29XGjQRL30NsjCnovg,44.4322673,26.0940477,0,1
75036,47440,EmsMUlhUjZAFlcbSUvTFOQ,44.4327098,26.0935076,0,1
75036,47440,b2QeeiY8afabPCW9Bk3JPg,44.4321987,26.0941202,0,1
75036,47440,qSZ64od0EiVVEfR96HqS9w,44.4327655,26.0934159,0,1
75036,47440,JsoYothceDC2gJJEY4yNyg,44.4328214,26.0933149,0,1
75036,47440,DvTUVZ88IsJgziljgPz6Zw,44.4323494,26.0939589,0,1
75036,47440,VGbp0Lp84hzLN6KsmUJ1kg,44.4329237,26.0931073,0,1
75036,47440,ZRXypnvOz3dn8bsM3e-1gQ,44.4328729,26.0932142,0,1
75036,47440,8y9vnHgxedb9LSdUOWUtuA,44.4322536,26.0935458,0,1
75036,47440,P5WExxlixnWv_Fwxyt8MXg,44.4329711,26.0930052,0,1
75036,47440,VEXX_vzy7ryrgM-H000wCA,44.4332478,26.092459,0,1
75036,47440,yvlbudZWXIPAsGeESd6fvw,44.4327911,26.0924386,0,1
75036,47440,axUVcXAFmyubNOAQ7tFDjQ,44.4319724,26.0924967,0,1
75036,47440,zeILK97kfeFoojN05Lz6ZQ,44.4323481,26.0923819,0,1
75036,47440,1BZ3xfscxgdz-o62rQO-yA,44.4327099,26.0924953,0,1
75036,47440,0Xj2orbL3z_a7Y2phwr6Ig,44.4334026,26.0923932,0,1
75036,47440,G7_9gVc1Cc2LrubyNXraog,44.4331639,26.0924864,0,1
75036,47440,4ObId47J6yssot_2mxzXcg,44.4328685,26.092412,0,1
75036,47440,D4X9gWAatTRZ2ey11r_mWA,44.4338136,26.0938865,0,1
75036,47440,oe4DVNtX4PgDeomKZu1ebA,44.4338406,26.0947132,0,1
75036,47440,bMMNLj8U2e7-k8eo-z6AkQ,44.4331865,26.095357,0,1
75036,47440,G-JCKNHET0Ws5VKdpLJpow,44.4317917,26.0946764,0,1
75036,47440,gW2nWCjXCyduSefMTfdkSw,44.431756,26.0939792,0,1
75036,47440,KKpGaadQhcvHqcwXJ3FM4w,44.4318202,26.0932163,0,1
75036,47440,qoMU5_d-LSOvh1_6q6wOsQ,44.4317332,26.093753,0,1
75036,47440,COw9xD6GEZbSiQ6Rf6Cqmw,44.431662,26.0938348,0,1
75036,47440,k9IL6KsKKTAeJjqVYVNDFA,44.4317462,26.0938765,0,1
75036,47440,1-SFU86lHdgFFjLKYjJ8kQ,44.4318005,26.0947724,0,1
75036,47440,j61IMRGL8MxkvKmF2Oi_Fg,44.4317582,26.0940846,0,1
75036,47440,8RgexaRF3AXdqfal0zzZYA,44.4317883,26.0945623,0,1
75036,47441,Rnpng7uoCE-ZMBVSkIptiw,44.4312773,26.0952413,0,1
75036,47441,UbhHdaw-IRpoL0qB2vd64Q,44.4313573,26.0951503,0,1
75036,47441,G-GhNjYVGYdomVF2H80IkQ,44.4314323,26.0950668,0,1
75036,47441,AF7IHoTPRmmTXGtOPbBm_w,44.431505,26.094986,0,1
75036,47441,PlLwUvAvcCn5nskI7jqj9A,44.4315762,26.0949076,0,1
75036,47441,5jxT4Aa4CPbvN3iF8oMNJQ,44.4316474,26.0948304,0,1
75036,47441,rGH8VJ7-pGT5ZTHuKLdOWQ,44.4317199,26.0947527,0,1
75036,47441,G-JCKNHET0Ws5VKdpLJpow,44.4317917,26.0946764,0,1
